1,SPD,Sozialdemokratische Partei Deutschlands
2,CDU,Christlich Demokratische Union
3,CSU,Christlich-Soziale Union
4,FDP,Freie Demokratische Partei
5,Bündnis 90/Die Grünen,Bündnis 90/Die Grünen
6,PIRATEN,PIRATEN
7,FREIE WÄHLER,FREIE WÄHLER
8,DIE LINKE,DIE LINKE
9,AfD,Alternative für Deutschland
10,Tierschutzpartei,Tierschutzpartei
11,FAMILIEN-PARTEI,FAMILIEN-PARTEI
12,ÖDP,ÖDP
13,BüSo,BüSo
14,PBC Partei Bibeltreuer Christen,PBC Partei Bibeltreuer Christen
15,MLPD,MLPD
16,Die PARTEI,Die PARTEI
17,CM,CM
18,AUF,AUF
19,BAYERNPARTEI,BAYERNPARTEI
20,Pro NRW,Pro NRW
21,NPD,NPD
22,REP,REP
23,DKP,DKP
24,TEAM,TEAM
25,Einzelbewerbung,Einzelbewerbung
27,FWG,FWG
28,GRAUE,GRAUE
29,GUT,GUT
30,ÖDP/FW,ÖDP/FW
31,Wählergemeinschaft,Wählergemeinschaft
32,WfW,WfW
33,BVB - Freie Wähler,BVB - Freie Wähler
34,KPD,KPD
35,DPFW,DPFW
36,B+B,B+B
37,DSU,DSU
38,Freie Bürger,Freie Bürger
39,WV MFU,WV MFU
40,Freiheitliche Partei Deutschlands,Freiheitliche Partei Deutschlands
41,Neue Liberale,Neue Liberale
42,Alternative zu Deutschland,Alternative zu Deutschland
43,Die gerade Partei,Die gerade Partei
44,HaraAlt,HaraAlt
45,Hamburger Bürger-Liste,Hamburger Bürger-Liste
46,HUMANWIRTSCHAFT,HUMANWIRTSCHAFT
47,Rentner,Rentner
48,Warum nicht!,Warum nicht!
49,Soziale Politik,Soziale Politik
50,SCHEUERL,SCHEUERL
51,Bürgerbeteiligung,Bürgerbeteiligung
52,Bü-Mi,Bü-Mi
53,DVU,DVU
54,Kusch,Kusch
55,Newropeans,Newropeans
56,ZENTRUM,ZENTRUM
57,Bergpartei,Bergpartei
58,BGD,BGD
59,BIG,Bündnis für Innovation & Gerechtigkeit
60,DiePinken/Bündnis 21,DiePinken/Bündnis 21
61,Bündnis für M-V,Bündnis für M-V
62,Deutsche Mitte,Deutsche Mitte
63,DIE VIOLETTEN,DIE VIOLETTEN
64,"Familie, Arbeit, Umwelt, christl. ökolog. Politik","Familie, Arbeit, Umwelt, christl. ökolog. Politik"
65,FÜR VOLKSENTSCHEIDE,FÜR VOLKSENTSCHEIDE
66,Grundeinkommen,Grundeinkommen
67,NEIN!,NEIN!
68,Partei der Vernunft,Partei der Vernunft
69,pro Deutschland,pro Deutschland
70,Sächsische Volkspartei,Sächsische Volkspartei
71,SG-NRW,SG-NRW
72,Unabhängige Kandidaten,Unabhängige Kandidaten
73,WASG,WASG
74,Bürger in Wut,Bürger in Wut
75,Für Bremerhaven,Für Bremerhaven
76,Soziale Liste Bochum,Soziale Liste Bochum
77,Freie Bürger Bochum,Freie Bürger Bochum
78,Bürgerliste Leverkusen,Bürgerliste Leverkusen
79,LKR,Liberal-Konservative Reformer
80,Tierschutzallianz,Tierschutzallianz
81,Arminius-Bund,Arminius-Bund
82,Bündnis C,Bündnis C
83,DIE EINHEIT,DIE EINHEIT
84,Die Rechte,Die Rechte
85,MENSCHLICHE WELT,MENSCHLICHE WELT
86,50Plus,50Plus
87,ADM,ADM
88,AGFG,AGFG
89,APPD,Anarchistische Pogo-Partei Deutschlands
90,Aufbruch,Aufbruch
91,BBL,BBL
92,BBW,BBW
93,BILDUNG,BILDUNG
94,Bildungspartei,Bildungspartei
95,BIP,BIP
96,Bü - DKP/KPD,Bü - DKP/KPD
97,Bündnis Offensive für Sachsen-Anhalt,Bündnis Offensive für Sachsen-Anhalt
98,BÜRGER-BLOCK e.V.,BÜRGER-BLOCK e.V.
99,Bürger-Opposition-Politik,Bürger-Opposition-Politik
100,BÜRGERBESTIMMTES BERLIN,BÜRGERBESTIMMTES BERLIN
101,Bürgerbündnis gegen unfähige Politik,Bürgerbündnis gegen unfähige Politik
102,Coby,Coby
103,DAP,DAP
104,Das Wohl des Volkes ist das oberste Gesetz.,Das Wohl des Volkes ist das oberste Gesetz.
105,ddp,ddp
106,DEMOKRATIE ERNEUERN,DEMOKRATIE ERNEUERN
107,Deutsche Konservative,Deutsche Konservative
108,Dialog Grundeinkommen,Dialog Grundeinkommen
109,Die Couragierten,Die Couragierten
110,Die Franken,Die Franken
111,DIE FRAUEN,DIE FRAUEN
112,DIE FREIHEIT,DIE FREIHEIT
113,Die Friesen,Die Friesen
114,Die Konservativen,Die Konservativen
