id,name,image
1,Volkswagen,Volkswagen_image.png
2,Schwarz-Gruppe,Schwarz-Gruppe_image.png
3,BMW,BMW_image.png
4,Mercedes-Benz,Mercedes-Benz_image.png
5,Lidl,Lidl_image.png
6,Deutsche Telekom,Deutsche_Telekom_image.png
7,Uniper,Uniper_image.png
8,E.ON,E.ON_image.png
9,Bosch,Bosch_image.png
10,BASF,BASF_image.png
11,Rewe,Rewe_image.png
12,DHL,DHL_image.png
13,Innogy,Innogy_image.png
14,Siemens,Siemens_image.png
15,Edeka,Edeka_image.png
16,Audi,Audi_image.png
17,Deutsche Bahn,Deutsche_Bahn_image.png
18,EnBW,EnBW_image.png
19,Daimler Truck,Daimler_Truck_image.png
20,Bayer,Bayer_image.png
21,Traton,Traton_image.png
22,BP,BP_image.png
23,Thüga,Thüga_image.png
24,ZF,ZF_image.png
25,Continental,Continental_image.png
26,ThyssenKrupp,ThyssenKrupp_image.png
27,Fresenius,Fresenius_image.png
28,Porsche,Porsche_image.png
29,RWE,RWE_image.png
30,Phoenix Pharma,Phoenix_Pharma_image.png
31,Kaufland,Kaufland_image.png
32,Shell,Shell_image.png
33,Lufthansa,Lufthansa_image.png
34,Amazon,Amazon_image.png
35,SAP,SAP_image.png
36,Metro,Metro_image.png
37,Linde,Linde_image.png
38,Derpart,Derpart_image.png
39,Vattenfall,Vattenfall_image.png
40,Siemens Energy,Siemens_Energy_image.png
41,Aldi Nord,Aldi_Nord_image.png
42,Mercedes-Benz Mobility,Mercedes-Benz_Mobility_image.png
43,Hochtief,Hochtief_image.png
44,Volkswagen Leasing,Volkswagen_Leasing_image.png
45,Boehringer Ingelheim,Boehringer_Ingelheim_image.png
46,Heraeus,Heraeus_image.png
47,Baywa,Baywa_image.png
48,VNG,VNG_image.png
49,Adidas,Adidas_image.png
50,Henkel,Henkel_image.png
51,MediaMarktSaturn,MediaMarktSaturn_image.png
52,Ceconomy,Ceconomy_image.png
53,Siemens Healthineers,Siemens_Healthineers_image.png
54,ANWR,ANWR_image.png
55,Heidelberg Materials,Heidelberg_Materials_image.png
56,Merck,Merck_image.png
57,Bertelsmann,Bertelsmann_image.png
58,Würth,Würth_image.png
59,Fresenius Medical Care,Fresenius_Medical_Care_image.png
60,Brenntag,Brenntag_image.png
61,Schenker,Schenker_image.png
62,SEFE,SEFE_image.png
63,Wintershall Dea,Wintershall_Dea_image.png
64,Aurubis,Aurubis_image.png
65,Evonik,Evonik_image.png
66,Covestro,Covestro_image.png
67,Hapag-Lloyd,Hapag-Lloyd_image.png
68,Aldi Süd,Aldi_Süd_image.png
69,Biontech,Biontech_image.png
70,Eurofactor,Eurofactor_image.png
71,ExxonMobil,ExxonMobil_image.png
72,Tennet,Tennet_image.png
73,TUI,TUI_image.png
74,Schaeffler,Schaeffler_image.png
75,Lekkerland,Lekkerland_image.png
76,Marquard & Bahls,Marquard_&_Bahls_image.png
77,Knauf,Knauf_image.png
78,MAN Truck & Bus,MAN_Truck_&_Bus_image.png
79,BSH,BSH_image.png
80,Total Energies,Total_Energies_image.png
81,Ford,Ford_image.png
82,Amprion,Amprion_image.png
83,Liebherr,Liebherr_image.png
84,Rossmann,Rossmann_image.png
85,AirPlus,AirPlus_image.png
86,Droege,Droege_image.png
87,Opel,Opel_image.png
88,Netto,Netto_image.png
89,Mahle,Mahle_image.png
90,Salzgitter,Salzgitter_image.png
91,Penny,Penny_image.png
92,Helios,Helios_image.png
93,Strabag,Strabag_image.png
94,Remondis,Remondis_image.png
95,50Hertz,50Hertz_image.png
96,Vodafone,Vodafone_image.png
97,dm,dm_image.png
98,Airbus Defence,Airbus_Defence_image.png
99,Kion,Kion_image.png
100,Stadtwerke Köln,Stadtwerke_Köln_image.png
101,SüdFactoring,SüdFactoring_image.png
102,maxingvest,maxingvest_image.png
103,Airbus,Airbus_image.png
104,Zalando,Zalando_image.png
105,RWE Vertrieb,RWE_Vertrieb_image.png
106,EWE,EWE_image.png
107,Carl Zeiss,Carl_Zeiss_image.png
108,MHK,MHK_image.png
109,Delivery Hero,Delivery_Hero_image.png
110,Globus,Globus_image.png
111,Stadtwerke München,Stadtwerke_München_image.png
112,Südzucker,Südzucker_image.png
113,Agravis,Agravis_image.png
114,Trianel,Trianel_image.png
115,Edeka Minden-Hannover,Edeka_Minden-Hannover_image.png
116,McKesson,McKesson_image.png
117,Eurobaustoff,Eurobaustoff_image.png
118,E/D/E,E/D/E_image.png
119,Beiersdorf,Beiersdorf_image.png
120,B. Braun,B._Braun_image.png
121,Tengelmann,Tengelmann_image.png
122,Hoyer,Hoyer_image.png
123,Enercity,Enercity_image.png
124,Noweda,Noweda_image.png
125,Benteler,Benteler_image.png
126,Theo Müller,Theo_Müller_image.png
127,Telefónica,Telefónica_image.png
128,Infineon,Infineon_image.png
129,TK Elevator,TK_Elevator_image.png
130,Puma,Puma_image.png
131,Roche,Roche_image.png
132,Helm,Helm_image.png
133,Google,Google_image.png
134,Fresenius Kabi,Fresenius_Kabi_image.png
135,Rhenus,Rhenus_image.png
136,John Deere,John_Deere_image.png
137,Brose,Brose_image.png
138,Alliance Healthcare,Alliance_Healthcare_image.png
139,DB Regio,DB_Regio_image.png
140,HelloFresh,HelloFresh_image.png
141,Bosch Rexroth,Bosch_Rexroth_image.png
142,DB InfraGO,DB_InfraGO_image.png
143,Samsung,Samsung_image.png
144,Exyte,Exyte_image.png
145,Ingram Micro,Ingram_Micro_image.png
146,Obi,Obi_image.png
147,Sandoz,Sandoz_image.png
148,Rheinmetall,Rheinmetall_image.png
149,Mann+Hummel,Mann+Hummel_image.png
150,Trumpf,Trumpf_image.png
151,Stihl,Stihl_image.png
152,Der Kreis,Der_Kreis_image.png
153,Norma,Norma_image.png
154,Galeria,Galeria_image.png
155,Asklepios,Asklepios_image.png
156,Miele,Miele_image.png
157,Microsoft,Microsoft_image.png
158,Bosch Automotive Steering,Bosch_Automotive_Steering_image.png
159,Arrow,Arrow_image.png
160,Stadtwerke Frankfurt,Stadtwerke_Frankfurt_image.png
161,Züblin,Züblin_image.png
162,Rehau,Rehau_image.png
163,Leoni,Leoni_image.png
164,Deutsche Börse,Deutsche_Börse_image.png
165,Hilti,Hilti_image.png
166,Oldendorff,Oldendorff_image.png
167,Symrise,Symrise_image.png
168,TD SYNNEX,TD_SYNNEX_image.png
169,Webasto,Webasto_image.png
170,Sonepar,Sonepar_image.png
171,Sanofi,Sanofi_image.png
172,Berlinwasser,Berlinwasser_image.png
173,AVIA,AVIA_image.png
174,DB Cargo,DB_Cargo_image.png
175,Novartis,Novartis_image.png
176,Gas-Union,Gas-Union_image.png
177,Hornbach,Hornbach_image.png
178,Bilfinger,Bilfinger_image.png
179,JET,JET_image.png
180,Edeka Rhein-Ruhr,Edeka_Rhein-Ruhr_image.png
181,Eni,Eni_image.png
182,Haniel,Haniel_image.png
183,McDonald's,McDonald's_image.png
184,Knorr-Bremse,Knorr-Bremse_image.png
185,Hugo Boss,Hugo_Boss_image.png
186,Enercon,Enercon_image.png
187,EvoBus,EvoBus_image.png
188,Dr. Oetker,Dr._Oetker_image.png
189,ProSiebenSat.1,ProSiebenSat.1_image.png
190,LVV Leipzig,LVV_Leipzig_image.png
191,Philips,Philips_image.png
192,FTI,FTI_image.png
193,1&1,1&1_image.png
194,Vinci,Vinci_image.png
195,GIZ,GIZ_image.png
196,Kuka,Kuka_image.png
197,Swiss Steel,Swiss_Steel_image.png
198,Vaillant,Vaillant_image.png
199,Viessmann,Viessmann_image.png
200,Fuchs,Fuchs_image.png
201,Saria,Saria_image.png
202,Gauselmann,Gauselmann_image.png
203,Festo,Festo_image.png
204,PHW,PHW_image.png
205,Intersnack,Intersnack_image.png
206,Sixt,Sixt_image.png
207,Hellmann,Hellmann_image.png
208,Kostal,Kostal_image.png
209,Werhahn,Werhahn_image.png
210,Fressnapf,Fressnapf_image.png
211,Heinemann,Heinemann_image.png
212,BASF Coatings,BASF_Coatings_image.png
213,Zeppelin,Zeppelin_image.png
214,Steag,Steag_image.png
215,Emil Frey,Emil_Frey_image.png
216,Axel Springer,Axel_Springer_image.png
217,Umicore,Umicore_image.png
218,Rolls-Royce Power Systems,Rolls-Royce_Power_Systems_image.png
219,Dow,Dow_image.png
220,Diehl,Diehl_image.png
221,Orlen,Orlen_image.png
222,Stada,Stada_image.png
223,Dekra,Dekra_image.png
224,BAT,BAT_image.png
225,Aunde,Aunde_image.png
226,OMV,OMV_image.png
227,Fujitsu,Fujitsu_image.png
228,Lufthansa Technik,Lufthansa_Technik_image.png
229,IBM,IBM_image.png
230,Otto Fuchs,Otto_Fuchs_image.png
231,MAN Energy Solutions,MAN_Energy_Solutions_image.png
232,Douglas,Douglas_image.png
233,Nestlé,Nestlé_image.png
234,Novelis,Novelis_image.png
235,Procter & Gamble Germany,Procter_&_Gamble_Germany_image.png
236,Gemalto,Gemalto_image.png
237,Hewlett Packard,Hewlett_Packard_image.png
238,Alfred Kärcher,Alfred_Kärcher_image.png
239,Cronimet Holding,Cronimet_Holding_image.png
240,Phoenix Contact,Phoenix_Contact_image.png
241,Sartorius,Sartorius_image.png
242,Drägerwerk,Drägerwerk_image.png
243,Arlanxeo Deutschland,Arlanxeo_Deutschland_image.png
244,Tchibo,Tchibo_image.png
245,Vorwerk,Vorwerk_image.png
246,Handelsgesellschaft Peter Cremer,Handelsgesellschaft_Peter_Cremer_image.png
247,Wirtgen Group,Wirtgen_Group_image.png
248,August Storck,August_Storck_image.png
249,Schmolz + Bickenbach,Schmolz_+_Bickenbach_image.png
250,T-Systems International,T-Systems_International_image.png
251,Raiffeisen Waren-Zentrale Rhein-Main,Raiffeisen_Waren-Zentrale_Rhein-Main_image.png
252,ABB Deutschland,ABB_Deutschland_image.png
253,Comparex,Comparex_image.png
254,Hubert Burda Media,Hubert_Burda_Media_image.png
255,Volkswagen Original Teile Logistik,Volkswagen_Original_Teile_Logistik_image.png
256,Intel Deutschland,Intel_Deutschland_image.png
257,Sana Kliniken,Sana_Kliniken_image.png
258,DB Fernverkehr,DB_Fernverkehr_image.png
259,Salzgitter Flachstahl,Salzgitter_Flachstahl_image.png
260,Linde Material Handling,Linde_Material_Handling_image.png
261,BASF Polyurethanes,BASF_Polyurethanes_image.png
262,Hansewerk,Hansewerk_image.png
263,Avacon,Avacon_image.png
264,Freenet,Freenet_image.png
265,Edeka Südbayern,Edeka_Südbayern_image.png
266,Haribo,Haribo_image.png
267,Union Tank Eckstein (UTA),Union_Tank_Eckstein_(UTA)_image.png
268,Salzgitter Mannesmann Handel,Salzgitter_Mannesmann_Handel_image.png
269,H&M Hennes & Mauritz,H&M_Hennes_&_Mauritz_image.png
270,Westfleisch,Westfleisch_image.png
271,SMS Group,SMS_Group_image.png
272,DB Energie,DB_Energie_image.png
273,FCA Germany,FCA_Germany_image.png
274,Altana,Altana_image.png
275,TÜV Süd,TÜV_Süd_image.png
276,DMG Mori,DMG_Mori_image.png
277,Hermes Europe,Hermes_Europe_image.png
278,Synlab,Synlab_image.png
279,Michelin Reifenwerke,Michelin_Reifenwerke_image.png
280,IDS Logistik,IDS_Logistik_image.png
281,Coca-Cola European Partners,Coca-Cola_European_Partners_image.png
282,Friedhelm Loh Stiftung,Friedhelm_Loh_Stiftung_image.png
283,Mitteldeutsche Netzgesellschaft Strom,Mitteldeutsche_Netzgesellschaft_Strom_image.png
284,LSG Lufthansa Service Holding,LSG_Lufthansa_Service_Holding_image.png
285,Körber,Körber_image.png
286,E.Dis,E.Dis_image.png
287,Saarstahl,Saarstahl_image.png
288,dormakaba Deutschland,dormakaba_Deutschland_image.png
289,Epcos,Epcos_image.png
290,Heidelberger Druckmaschinen,Heidelberger_Druckmaschinen_image.png
291,Technische Werke Dresden,Technische_Werke_Dresden_image.png
292,Unitymedia,Unitymedia_image.png
293,RheinEnergie,RheinEnergie_image.png
294,Aton,Aton_image.png
295,RTL,RTL_image.png
296,Edeka Hessenring,Edeka_Hessenring_image.png
297,IBM Global Business Services,IBM_Global_Business_Services_image.png
298,Neumann Gruppe,Neumann_Gruppe_image.png
299,Diebold Nixdorf,Diebold_Nixdorf_image.png
300,GE Deutschland Holding,GE_Deutschland_Holding_image.png
301,PricewaterhouseCoopers (PwC),PricewaterhouseCoopers_(PwC)_image.png
